route_short_name,agency_name,route_long_name,num_trips,mean_trip_distance,start_stop_id,end_stop_id,start_stop_name,end_stop_name,start_stop_city,end_stop_city,start_stop_desc,end_stop_desc,start_stop_lat,start_stop_lon,end_stop_lat,end_stop_lon,line_type,line_type_desc
168,קווים,מסוף קרית אונו-קרית אונו<->מסוף כרמלית/הכרמל-תל אביב יפו-20,36,16841,37716,13483,מסוף קרית אונו,מסוף כרמלית/הכרמל,קרית אונו,תל אביב יפו,רחוב:  עיר: קרית אונו רציף:   קומה:,רחוב:הכרמל 12 עיר: תל אביב יפו רציף:   קומה:,32.037273,34.865544,32.066363,34.766098,1,עירוני
168,קווים,יחזקאל - בי''ס רימונים-קרית אונו<->מסוף כרמלית/הכרמל-תל אביב יפו-21,4,16591,15899,13483,יחזקאל - בי''ס רימונים,מסוף כרמלית/הכרמל,קרית אונו,תל אביב יפו,רחוב:יחזקאל  עיר: קרית אונו רציף:   קומה:,רחוב:הכרמל 12 עיר: תל אביב יפו רציף:   קומה:,32.056272,34.866045,32.066363,34.766098,1,עירוני
557,אגד,דרך בן גוריון/אולמי מודיעין-בני ברק<->כיכר המעפיל-קרית גת-1#,3,71052,13247,42868,דרך בן גוריון/אולמי מודיעין,כיכר המעפיל,בני ברק,קרית גת,רחוב:דרך בן גוריון 24 עיר: בני ברק רציף:   קומה:,רחוב:  עיר: קרית גת רציף:   קומה:,32.093343,34.822094,31.604173,34.761445,3,בינעירוני
557,אגד,כיכר המעפיל-קרית גת<->בן גוריון/ מגדלי קונקורד-בני ברק-2#,3,72081,42868,12900,כיכר המעפיל,בן גוריון/ מגדלי קונקורד,קרית גת,בני ברק,רחוב:  עיר: קרית גת רציף:   קומה:,רחוב:דרך בן גוריון 11 עיר: בני ברק רציף:   קומה:,31.604173,34.761445,32.094143,34.822193,3,בינעירוני
558,אגד,דרך בן גוריון/אולמי מודיעין-בני ברק<->מלון יפה נוף-ערד-1#,3,156034,13247,26844,דרך בן גוריון/אולמי מודיעין,מלון יפה נוף,בני ברק,ערד,רחוב:דרך בן גוריון 24 עיר: בני ברק רציף:   קומה:,רחוב:מואב 112 עיר: ערד רציף:   קומה:,32.093343,34.822094,31.26037,35.234168,3,בינעירוני
558,אגד,מלון יפה נוף-ערד<->בן גוריון/ מגדלי קונקורד-בני ברק-2#,2,150172,26843,12900,מלון יפה נוף,בן גוריון/ מגדלי קונקורד,ערד,בני ברק,רחוב:מואב 89 עיר: ערד רציף:   קומה:,רחוב:דרך בן גוריון 11 עיר: בני ברק רציף:   קומה:,31.260451,35.233732,32.094143,34.822193,3,בינעירוני
244,אגד,קניון איילון-בני ברק<->שושנה דמארי/אהוד מנור-רמלה-1#,25,36579,14316,173,קניון איילון,שושנה דמארי/אהוד מנור,בני ברק,רמלה,רחוב:  עיר: בני ברק רציף:   קומה:,רחוב:שושנה דמארי 18 עיר: רמלה רציף:   קומה:,32.098763,34.82545,31.916141,34.872134,3,בינעירוני
244,אגד,שושנה דמארי/אהוד מנור-רמלה<->קניון איילון/דרך ששת הימים-רמת גן-2#,23,37319,174,13203,שושנה דמארי/אהוד מנור,קניון איילון/דרך ששת הימים,רמלה,רמת גן,רחוב:שושנה דמארי  עיר: רמלה רציף:   קומה:,רחוב:דרך אבא הלל 301 עיר: רמת גן רציף:   קומה:,31.916235,34.873652,32.098676,34.827128,3,בינעירוני
236,קווים,מסוף כרמלית-תל אביב יפו<->מסוף אור יהודה-אור יהודה-10,51,15956,13269,23258,מסוף כרמלית,מסוף אור יהודה,תל אביב יפו,אור יהודה,רחוב:יצחק אלחנן  עיר: תל אביב יפו רציף:   קומה:,רחוב:  עיר: אור יהודה רציף:   קומה:,32.066069,34.764834,32.021122,34.863511,1,עירוני
236,קווים,החרושת/מעלה המגדל-אור יהודה<->מסוף כרמלית-תל אביב יפו-20,52,15733,15604,13269,החרושת/מעלה המגדל,מסוף כרמלית,אור יהודה,תל אביב יפו,רחוב:החרושת 26 עיר: אור יהודה רציף:   קומה:,רחוב:יצחק אלחנן  עיר: תל אביב יפו רציף:   קומה:,32.021346,34.863743,32.066069,34.764834,1,עירוני
